RID,important,worry,personal,future,segment
68921531-b098-e1b7-1634-d0b19b659686,Extremely important,Very worried,A great deal,A great deal,Alarmed
6892153b-e41d-76d0-ec1d-d9b44be9c374,Somewhat important,Somewhat worried,Only a little,A moderate amount,Cautious
6892153f-9610-d347-9fe9-360d3ba74529,Very important,Somewhat worried,Only a little,A great deal,Concerned
68921547-524f-8fcb-659d-25c31b0cde28,Very important,Somewhat worried,A moderate amount,A moderate amount,Concerned
68921549-069e-999c-a324-23776ee559d5,Very important,Very worried,A moderate amount,A great deal,Alarmed
68921556-d594-a09b-6cce-195b652e3f9e,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
68921563-4dd1-927c-3ec9-6993bc8f3101,Not too important,Not very worried,Don't know,Don't know,Disengaged
68921566-d4a3-7fd5-15b4-4533df924822,Very important,Somewhat worried,A moderate amount,A moderate amount,Concerned
68921576-d145-5417-9fd5-abdaab31acdb,Extremely important,Very worried,A great deal,A great deal,Alarmed
6892157c-c1ea-9686-2e43-9187742a3066,Not at all important,Not very worried,Only a little,Only a little,Doubtful
6892157e-bfa1-109e-d493-108076f0ed8a,Somewhat important,Not at all worried,Not at all,A great deal,Cautious
6892158b-c095-95c6-6934-ce746c673d1b,Very important,Very worried,A moderate amount,A moderate amount,Concerned
68921591-dbe0-2e61-3a04-86a2ab9ae92f,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
6892159f-a669-efc6-f643-6662b8c0cd2c,Not too important,Not very worried,Not at all,Only a little,Doubtful
689215a2-16d7-efa2-199c-5c153bfcb78d,Somewhat important,Not very worried,Not at all,Not at all,Dismissive
689215ac-9cf6-8263-bcf7-8b803bec26d6,Very important,Somewhat worried,Only a little,A great deal,Concerned
689215c6-e7c7-c94b-26f8-864a7893c019,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
689215df-f2d7-57d3-d98c-d97b4689d9d7,Somewhat important,Not very worried,Not at all,Don't know,Doubtful
689215e4-c203-8012-3963-325a394301f6,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Cautious
689215ef-861b-243b-7993-1a2b27feb34a,Somewhat important,Somewhat worried,Don't know,A moderate amount,Concerned
689215f1-06b2-a2bb-f9b6-72c8f29e4dd8,Somewhat important,Not very worried,Only a little,A moderate amount,Cautious
689215f4-a561-77c1-b031-16079f2d45e6,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
689215f7-4c5b-65b2-f846-10644ee712f0,Somewhat important,Not very worried,Only a little,A great deal,Concerned
689215fa-8630-b336-8935-4ec5ca39d309,Very important,Somewhat worried,Don't know,Don't know,Disengaged
689215fe-03af-c9f9-16e5-61871cf0b50c,Somewhat important,Very worried,Only a little,A great deal,Concerned
68921603-1f72-48c9-42e3-0621564fcbe2,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
68921606-80b7-2ca9-c6ef-4180e80ad9a1,Very important,Very worried,Only a little,A great deal,Alarmed
6892160c-5d8b-a245-ff26-14ab19270b68,Somewhat important,Not very worried,Only a little,Only a little,Cautious
68921633-63fb-d0f4-892e-ddcf72870f18,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
6892164c-f1c1-aa60-2407-25129aad012d,Not too important,Not very worried,Only a little,Only a little,Doubtful
6892164d-f1f7-75c0-a661-a63c299849ee,Extremely important,Very worried,A great deal,A great deal,Alarmed
68921652-70cb-bc03-8722-ec614211e3c2,Very important,Very worried,A great deal,A great deal,Alarmed
6892165e-7c5f-c454-ed69-7e66f127c8c6,Very important,Very worried,A moderate amount,A great deal,Alarmed
68921663-e3eb-633b-15dc-ea40de5df223,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
68921678-4943-fa4a-3f66-c175f37883cd,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
6892167a-b192-505a-5bbc-68b710caa793,Not at all important,Not very worried,Not at all,Not at all,Dismissive
68921680-2752-4b5f-f807-d872412a5cb3,Not too important,Not very worried,Only a little,Only a little,Doubtful
689216b3-6ab8-6c6e-07b3-69381f7d5835,Extremely important,Very worried,A great deal,A great deal,Alarmed
689216f9-16f5-54fb-5bc4-cbe0808c96ea,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Cautious
68921711-63c4-aee2-fcab-d48a36e3d6f3,Very important,Somewhat worried,A great deal,A great deal,Alarmed
68921749-85a6-535b-fd41-acc9676f442e,Very important,Very worried,A moderate amount,A great deal,Alarmed
6892175c-6f93-b86f-1eb8-52a9294b7fa1,Somewhat important,Not very worried,A moderate amount,A moderate amount,Cautious
68921792-beff-35cc-fbdd-9d57578cc682,Not too important,Not very worried,Only a little,A moderate amount,Cautious
689217ce-3d6a-d059-f9bb-19b9f5827bde,Somewhat important,Somewhat worried,Only a little,Only a little,Cautious
689217f0-1420-d81f-c04f-91a19d17da81,Very important,Somewhat worried,A great deal,A moderate amount,Concerned
689218f8-2e71-936c-76f8-b30078f34b3f,Very important,Very worried,A great deal,A great deal,Alarmed
68921a09-7d02-2954-3a36-5b494598cbe8,Somewhat important,Somewhat worried,A moderate amount,Don't know,Concerned
68921a49-19e8-63e9-0c72-467671a3d1bd,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
68921a66-e90b-f5d4-ce7e-968301674d71,Somewhat important,Not very worried,Not at all,Only a little,Doubtful
68921a70-fdb2-f9d6-b3e5-6aa8a2c194a8,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
68921a9f-53f8-3b23-ddce-8bbb706ac577,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
68921ad3-b01c-cc58-f0b3-507f8a2cbe06,Extremely important,Very worried,A great deal,A great deal,Alarmed
68921aee-6fe5-fba8-77c9-487c92875778,Very important,Somewhat worried,A moderate amount,A moderate amount,Concerned
68921b13-b8b2-0e0f-a80b-c5bd88eae86f,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
68921b1e-ea12-7eac-3f10-2907bf5d03cc,Very important,Somewhat worried,Not at all,A moderate amount,Concerned
68921b21-5fe3-02e8-ba4c-e1ea0dfa854c,Extremely important,Somewhat worried,A moderate amount,Only a little,Alarmed
68921c57-56b8-7c12-0b2c-88d0954d8f6b,Very important,Very worried,Don't know,A great deal,Alarmed
68921c68-fe73-6292-3dc3-9fa01ca70638,Very important,Very worried,A great deal,A great deal,Alarmed
68921cd8-dbf9-79aa-59e3-3c51fa03c61d,Somewhat important,Not very worried,Only a little,A moderate amount,Cautious
68921eae-9c0c-b8df-f549-76c68e517e75,Very important,Very worried,A moderate amount,A great deal,Alarmed
68921ebf-dced-963a-8fda-3c062b556941,Very important,Very worried,A moderate amount,A great deal,Alarmed
68921f82-3e40-5527-0281-3322ee6707ec,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
68921f9e-fcff-ef36-ab3e-7e32c9697b8a,Very important,Very worried,A great deal,A great deal,Alarmed
68921fd5-c808-7f4c-b53d-72bf545c4b41,Very important,Somewhat worried,A moderate amount,A moderate amount,Concerned
68922000-1295-a83f-9253-c2769f9791a5,Very important,Very worried,A great deal,A great deal,Alarmed
6892203b-36a7-eb93-0869-b2eb0b0e5abf,Extremely important,Very worried,A great deal,A great deal,Alarmed
6892205d-ebd5-53d1-f0b8-6e2d5540b7dc,Somewhat important,Not very worried,Not at all,Only a little,Doubtful
689221ff-8aa7-edb5-1b72-fc1487ce56fb,Extremely important,Somewhat worried,A great deal,A great deal,Alarmed
6892222e-0345-a933-4a6d-2ef8ebbe0990,Very important,Somewhat worried,A great deal,A great deal,Alarmed
68922254-f4c4-7301-95e2-fe5d6c0565f3,Extremely important,Very worried,Only a little,A great deal,Alarmed
689222a3-f6d1-f9fb-a763-c9618b823c32,Very important,Somewhat worried,Don't know,A moderate amount,Concerned
689222e0-3e8f-a6e7-fe74-3d4690c4c655,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
68922322-56a4-28fa-cba2-352d0c540dbd,Extremely important,Somewhat worried,Only a little,A great deal,Alarmed
68922325-1a01-3afb-f36d-2c1db9586404,Somewhat important,Somewhat worried,Only a little,A great deal,Concerned
68922339-1e06-55c1-b0e4-c025d07f03da,Not at all important,Not at all worried,Only a little,A moderate amount,Doubtful
68922340-55a0-d0f5-9717-c02cbfbe903b,Somewhat important,Somewhat worried,Only a little,A moderate amount,Cautious
689223a0-1b3e-a8d6-a906-bf6b8ae4214e,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
689223fc-7131-6166-5da8-5ed2fc91ad40,Somewhat important,Somewhat worried,Not at all,A moderate amount,Cautious
689223ff-fc8e-bd1d-06cf-643a40b315a1,Extremely important,Somewhat worried,Not at all,A moderate amount,Cautious
68922410-7dc5-0c60-e647-c86d7b9a3cc3,Not too important,Not very worried,Not at all,Only a little,Doubtful
68922476-9098-cd39-6da7-c682ea00d416,Not too important,Not very worried,Don't know,Don't know,Disengaged
68922479-cda4-03e0-7aaf-642104e9b29c,Extremely important,Very worried,A great deal,A great deal,Alarmed
689225fe-37b6-8785-c876-9452aad7e256,Extremely important,Very worried,A great deal,A great deal,Alarmed
68922605-fddf-bdbd-08d9-697c9f6a7c5d,Not too important,Not very worried,Only a little,Only a little,Doubtful
689226b7-832e-4e32-0d7a-0c0dfca5da3b,Extremely important,Very worried,A great deal,A great deal,Alarmed
68922777-534c-1e37-1b00-54d7041ab047,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
6892277b-17da-ca62-158a-15b91bc0d467,Very important,Very worried,A moderate amount,A great deal,Alarmed
68922786-12a0-0a95-2ab0-d9971251ad90,Very important,Somewhat worried,A great deal,A great deal,Alarmed
6892279e-cc1b-7c83-ff3e-bcb58d841244,Somewhat important,Somewhat worried,A great deal,A great deal,Concerned
689228f3-64d2-f5ad-a019-ac3ac4dbf792,Extremely important,Somewhat worried,A great deal,A great deal,Alarmed
68922955-0b9c-da1c-d681-6d62135d9d40,Somewhat important,Not very worried,Don't know,Don't know,Disengaged
68922a76-e370-fbda-68ba-cf766bf37a6c,Somewhat important,Somewhat worried,Only a little,A moderate amount,Cautious
68922a91-264d-e455-2778-49cd90b40d16,Very important,Somewhat worried,A moderate amount,A moderate amount,Concerned
68922a91-827d-c855-67a6-d6b02bb0c392,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
689268b4-c4a5-f308-155b-b6a3886a525f,Not too important,Not at all worried,Not at all,Only a little,Doubtful
689268c5-ecd0-9da3-cc65-f1ecaccd4c12,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
689268c6-43a1-651a-0644-0dd9812ff224,Extremely important,Very worried,Only a little,A great deal,Alarmed
689268c9-de44-a68c-1a1a-3df4d0c45e37,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
689268da-1098-fdde-5086-16e20c0b74b2,Extremely important,Somewhat worried,A moderate amount,A moderate amount,Concerned
689268e0-0fa1-feff-1870-89cdc70d4049,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
689268f2-4cce-34ab-9309-cc19dab57f0c,Extremely important,Very worried,A great deal,A great deal,Alarmed
689268f9-f8bb-d43b-6088-7db326946f6c,Extremely important,Very worried,A great deal,A great deal,Alarmed
689268fa-1028-654c-5774-224cf84c2cf2,Not too important,Not very worried,Not at all,Only a little,Doubtful
68926925-71f3-b796-8a02-4ad6e3940cc4,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
68926938-1ead-8db1-b15d-9b14535c7f77,Extremely important,Very worried,A great deal,A great deal,Alarmed
68926976-272c-9628-d476-e6f17a6605e8,Somewhat important,Somewhat worried,Don't know,Don't know,Disengaged
68926987-1cb7-8705-872b-223c5ed4e1e4,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
68926995-ff20-ad8a-2d78-43d200078a17,Extremely important,Very worried,A great deal,A great deal,Alarmed
6892699c-fe78-6889-7a78-11cdaaffa002,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
6892699e-da69-c4d0-87ff-a1b5dd71d59c,Not at all important,Not at all worried,Don't know,Not at all,Dismissive
689269b1-dbfc-d2d6-4690-a34119d2f73f,Not at all important,Not at all worried,Don't know,Don't know,Doubtful
689269b5-28e9-218f-c4e7-3c0c29efc684,Not too important,Not very worried,Only a little,Only a little,Doubtful
689269c3-f2a6-a4aa-c53a-fee041ec6c60,Not at all important,Not at all worried,Not at all,Only a little,Doubtful
689269ca-1766-fb8f-bd6e-f5301627c348,Somewhat important,Somewhat worried,Only a little,A moderate amount,Cautious
689269d6-9ccb-a865-cdd3-64d65ec35baf,Somewhat important,Somewhat worried,Only a little,Only a little,Cautious
68926a83-ed38-f8f9-7730-80a18686bb4a,Very important,Very worried,A great deal,A great deal,Alarmed
68926bc7-aeab-bebd-555b-2ad71aa1a19b,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
68926bd9-d4d9-87c9-574c-e3761bed63f1,Extremely important,Very worried,A great deal,A great deal,Alarmed
68926e0b-f701-97f5-baf6-7935d8c58f9a,Somewhat important,Not very worried,Don't know,Don't know,Disengaged
68926f95-e945-555a-1630-88ee6ad26b47,Not at all important,Not at all worried,Not at all,Only a little,Doubtful
68926fe3-9d12-6085-9ee7-614dbb9148ea,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
6892711f-65f2-eeff-3861-fe30d474fcff,Not too important,Not very worried,Not at all,A moderate amount,Cautious
689271a5-add0-69a6-8f7a-3df4c8d84454,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
6892720e-4f80-fe2e-2e99-74a0185e776a,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
6892729f-d8aa-78e9-9ee4-8bd62029a4ed,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
689272e4-c2b8-fa0b-9058-2cc97f8e435f,Very important,Somewhat worried,A moderate amount,A moderate amount,Concerned
689274cc-d31e-2b69-8b24-ad5977d63dac,Somewhat important,Somewhat worried,Only a little,A moderate amount,Cautious
68927709-95cd-5f0f-8287-caac9c53ca95,Very important,Very worried,A great deal,A great deal,Alarmed
689277ad-a5ad-588e-9a3a-bd971d314c9c,Very important,Somewhat worried,Only a little,Only a little,Cautious
689277de-b4b7-050e-d6cc-01c081077b37,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
6892784e-eed6-bb20-34f3-6f9c705d8663,Very important,Very worried,A moderate amount,A great deal,Alarmed
68927864-68de-c38a-08ad-4eb182847a42,Extremely important,Very worried,A great deal,A great deal,Alarmed
689278b9-2643-e58b-7d8c-a3693ee507ce,Somewhat important,Somewhat worried,Don't know,A moderate amount,Concerned
68927923-748e-b740-2638-1f58f0c59020,Somewhat important,Somewhat worried,Only a little,A moderate amount,Cautious
689362eb-ce29-759d-4129-ebd9a9eb21dd,Somewhat important,Not very worried,A moderate amount,A moderate amount,Cautious
689362fd-3351-c9d4-70ca-97c63ef4a884,Very important,Very worried,A moderate amount,A great deal,Alarmed
689362fd-8051-e605-6566-4b3a82ce6564,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
68936313-9c9b-074f-c2d4-213f20b16d52,Extremely important,Very worried,A great deal,A great deal,Alarmed
68936326-cfa3-baaf-f056-9b89ea1b9d98,Somewhat important,Not very worried,Don't know,Don't know,Disengaged
68936328-0c63-e4d9-0836-00f0b3d73d01,Not too important,Not very worried,Not at all,Only a little,Doubtful
68936335-9736-592d-d45d-a1cac680c882,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
6893633e-84bb-aeaf-c56b-38aa3cd2725f,Not too important,Not very worried,Only a little,Only a little,Doubtful
68936349-94fa-2a2c-d2aa-2a8037b63450,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
68936357-6277-6497-b7d1-61683bc023e9,Not too important,Not very worried,Only a little,A moderate amount,Cautious
68936360-65a9-e65c-b273-e80410c8133e,Not at all important,Not at all worried,Not at all,Don't know,Doubtful
68936361-2393-d443-408b-b0bf4d1ad929,Somewhat important,Somewhat worried,Don't know,Only a little,Cautious
68936388-b9d5-760f-c27d-bcd0f0f9b7c6,Not at all important,Not at all worried,Not at all,Don't know,Doubtful
689363a5-9e01-9634-4bbc-ee399f13fb1a,Very important,Very worried,A moderate amount,A moderate amount,Concerned
689363d1-65e2-aa82-06d8-a3efaed9d00e,Extremely important,Very worried,A great deal,A great deal,Alarmed
689363d3-6298-0cb9-023f-e277785db58a,Very important,Very worried,Only a little,A great deal,Alarmed
689363da-d398-80b7-e6d5-ebe0264e7fa2,Very important,Somewhat worried,Only a little,A moderate amount,Concerned
689363dd-dc52-fe6b-aefa-ca1e8c262863,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
689363f0-75fc-fb6f-764b-9078a39e5aad,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
689363fe-5466-53fa-e1f2-241ff44208c7,Extremely important,Very worried,Only a little,A great deal,Alarmed
68936413-0c74-781b-f8c0-b311fceddc15,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
68936424-41cc-4ce6-477b-af900921aba0,Very important,Very worried,A great deal,A great deal,Alarmed
68936434-5fee-5c79-c47f-189ffd3d1ae0,Extremely important,Very worried,A great deal,A great deal,Alarmed
68936434-f4da-ad39-df1c-1141a2128ad1,Very important,Very worried,A great deal,A great deal,Alarmed
68936435-00a6-645c-d760-cdcf4f52a596,Not at all important,Not very worried,Only a little,Only a little,Doubtful
6893643c-1cff-4f52-f37b-0ed80f287630,Extremely important,Very worried,A great deal,A great deal,Alarmed
6893643d-6569-cb31-71cd-9695af583394,Somewhat important,Somewhat worried,Only a little,A moderate amount,Cautious
68936443-5211-d9d8-95f8-382940ee26b7,Not too important,Not very worried,Only a little,Only a little,Doubtful
6893644a-8a8e-fe02-c9fb-189c3b3740d7,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Cautious
6893644a-c00f-f3a1-3f25-f1a5a0a0f3a4,Somewhat important,Somewhat worried,Only a little,A moderate amount,Cautious
6893645c-bf1d-de75-3b1e-1f63bfcea4f5,Very important,Very worried,A great deal,A great deal,Alarmed
68936464-a779-69d2-2179-09f7cae64fb7,Extremely important,Very worried,A great deal,A great deal,Alarmed
68936469-6587-8579-1f66-51bbdc54f946,Not too important,Not very worried,Only a little,Only a little,Doubtful
68936469-e703-09b6-a002-c89deaf0e107,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Cautious
6893646e-6799-4545-1b71-f300d42f207e,Not at all important,Not at all worried,Not at all,Don't know,Doubtful
68936470-4112-df98-8c59-584ee6c4284f,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
68936471-ab96-7f5d-2900-c2d09ad55878,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
6893647f-ee46-d9f7-4346-dbb7d565bde9,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
68936482-b1ef-8050-625d-7518f2fc26a5,Very important,Very worried,A moderate amount,A great deal,Alarmed
68936485-a542-015e-3a49-fd26eed1eb6e,Somewhat important,Somewhat worried,Only a little,A moderate amount,Cautious
68936494-3257-89ed-57a1-a346ce98697c,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
6893649b-94ec-fcae-455c-ea41402f5068,Extremely important,Somewhat worried,A moderate amount,A great deal,Alarmed
6893649b-cebc-039f-0189-ca259ce6e215,Extremely important,Very worried,A great deal,A great deal,Alarmed
689364a1-c3c5-4d97-3316-a01a6e96df8e,Extremely important,Somewhat worried,A moderate amount,A great deal,Alarmed
689364ac-fd38-370d-99a9-9795728831a5,Not too important,Not very worried,Not at all,A moderate amount,Cautious
689364cb-86c5-f140-f9f6-424ecc3c8859,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
689364e8-99e9-4ed0-f33b-b321268633d0,Extremely important,Very worried,A great deal,A great deal,Alarmed
689364e9-880f-b2ff-9fde-8d22449555a8,Somewhat important,Not very worried,Only a little,A great deal,Concerned
689364f9-4c26-3d75-2039-c8d054e1795c,Somewhat important,Very worried,Only a little,A great deal,Concerned
68936500-2155-47c6-f1ba-28ace9491ca4,Very important,Very worried,A moderate amount,A great deal,Alarmed
6893651e-328e-e175-658d-823941f2e9fa,Very important,Somewhat worried,A great deal,A great deal,Alarmed
68936524-6b17-dfa6-ccac-f476f910e60d,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
6893652e-ad92-9fc2-a79c-0eb6b10bb8b4,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
68936561-cee8-b800-c2d6-abc7efaaf388,Somewhat important,Somewhat worried,Only a little,A great deal,Concerned
68936568-ee48-c39f-07e6-dde6710c0ac7,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
68936585-33ab-98eb-ae32-ea411deeadb0,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
68936590-440e-0adb-ca23-6927e44214c5,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
68936591-4f36-1ab4-da45-6f9004c83f79,Somewhat important,Somewhat worried,Only a little,A moderate amount,Cautious
68936592-6d8d-f8bc-6ce1-34ccbdc41108,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
6893659b-214c-b299-55ae-bb77630f344f,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
6893659c-c994-de34-7793-dca2669b0fa4,Not at all important,Not at all worried,Don't know,Don't know,Doubtful
689365a1-53a5-2dc4-744c-b8be9d2e981c,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
689365af-2602-3316-b76c-f281d627c369,Extremely important,Very worried,A great deal,A great deal,Alarmed
689365b0-a9a1-460e-d9db-b6f82b924790,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
689365c9-4035-e674-43df-b95b8dc004fa,Not too important,Not very worried,Only a little,A moderate amount,Cautious
689365cd-2b18-6854-46c9-608ce68cf78c,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
689365d3-bb3f-9bfe-b303-9268ac0e3733,Somewhat important,Not very worried,Only a little,Only a little,Cautious
689365dd-0349-8bfa-b935-681a74bc8d87,Very important,Very worried,A great deal,A great deal,Alarmed
689365e5-7d61-cd9d-a6e3-db88d5d5033d,Very important,Very worried,A moderate amount,A great deal,Alarmed
689365eb-3416-ff86-4350-13a8f6c855f7,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
689365f1-d21e-0389-4193-8e86c39f5dfe,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
689365f8-28c1-1ff7-9930-01e8e6d3806a,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
689365fd-2433-ed96-ae66-4950a6e47b8c,Not too important,Not very worried,Not at all,Only a little,Doubtful
68936609-5838-2a6b-bb87-2f06cdba2a78,Somewhat important,Not very worried,A moderate amount,A moderate amount,Cautious
68936609-9ddb-96f2-21eb-b710c60f828c,Somewhat important,Somewhat worried,Only a little,A moderate amount,Cautious
6893660f-2e2b-cd0e-43a8-73fa5b10416e,Very important,Very worried,A moderate amount,A great deal,Alarmed
68936610-34c8-a3b2-85a6-384c8ed72d68,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
68936611-944c-2de0-8aa7-181318d1b0cb,Somewhat important,Not very worried,Only a little,A moderate amount,Cautious
68936622-3490-dec1-e5da-48fcab0e68c3,Extremely important,Very worried,A great deal,A great deal,Alarmed
6893662f-2179-cd5a-2303-cce45d6eec73,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
6893663b-a194-f91c-779e-ae580c99c009,Very important,Very worried,A moderate amount,A great deal,Alarmed
6893663b-b522-48b0-7cc9-b3b3a7922aad,Somewhat important,Not very worried,Only a little,A moderate amount,Cautious
68936650-1bcf-61be-4620-9aeab9c95d8e,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
6893665b-4b28-9c8c-7114-0e6b3d5fbbb1,Not too important,Not at all worried,Not at all,Not at all,Dismissive
68936674-a7a0-fc70-3fe8-940581c86d33,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
68936677-f7fd-6733-2d42-8005c7746caf,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
68936678-42af-89bb-e1a4-72490c8cffce,Extremely important,Somewhat worried,Only a little,A great deal,Alarmed
68936679-f1d5-41f5-81f5-e0ce9daace68,Extremely important,Very worried,A great deal,A great deal,Alarmed
6893667e-e9b7-17af-3cc3-619ad96435cf,Extremely important,Very worried,A great deal,A great deal,Alarmed
68936681-b868-efef-70bf-0149b9c50dab,Very important,Very worried,A great deal,A great deal,Alarmed
68936686-9536-e220-d8c6-e47030d95a69,Not at all important,Not at all worried,Don't know,Don't know,Doubtful
68936687-e19b-229a-410a-e2c2fadf717a,Extremely important,Very worried,A great deal,A great deal,Alarmed
68936690-e493-5342-79f3-94f90e74cca7,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
68936696-bc11-5a83-95e9-5e03e561849a,Not at all important,Not at all worried,Don't know,Not at all,Dismissive
6893669d-fdc3-28c5-e4e2-5c594dc906d1,Somewhat important,Very worried,A great deal,A great deal,Concerned
689366a1-27b5-3ddf-a38d-1404a46ced00,Very important,Very worried,Only a little,A great deal,Alarmed
689366c7-1fcc-70f0-1db4-de1115716457,Not too important,Not very worried,Only a little,A moderate amount,Cautious
68936872-1283-0c5d-cf6d-104a7a97740c,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
689368dd-7fe8-f053-5a58-fc19fb7854d1,Not too important,Not very worried,A moderate amount,A moderate amount,Cautious
68936923-7963-a180-8552-95f10ea87a08,Extremely important,Very worried,A great deal,A great deal,Alarmed
689369dd-a61e-9cbe-2b5d-3b041eaec038,Very important,Somewhat worried,Only a little,A great deal,Concerned
689369e3-d075-f6a1-f9e9-6f9cc242b92f,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
689369ee-cf1b-589e-baaf-58122ee2d7d6,Somewhat important,Somewhat worried,A great deal,A great deal,Concerned
68936a07-ae4c-e5cd-f384-1c59e05abcf1,Extremely important,Very worried,A great deal,A great deal,Alarmed
68936a59-12f8-9a18-d196-447f6cd4047a,Somewhat important,Somewhat worried,Only a little,Only a little,Cautious
68936a7b-f783-d940-2021-76182331513e,Very important,Very worried,A moderate amount,A moderate amount,Concerned
68936ace-2407-d5db-fa10-f07edb5d9265,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
68936b03-2d40-fc97-b086-e34b4636683b,Very important,Very worried,A moderate amount,A great deal,Alarmed
68936bfe-2dd8-906b-8195-12df89ad25aa,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
68936c14-d866-5bf9-0e0c-b8d3534ba4cc,Very important,Somewhat worried,A moderate amount,A moderate amount,Concerned
68936c22-f552-34b5-a224-95163e9d446e,Extremely important,Very worried,A great deal,A moderate amount,Alarmed
68936c9b-3b10-ddf7-d243-9842c7a7cbb9,Not at all important,Not at all worried,Don't know,Not at all,Dismissive
68936d06-72fc-2a95-4228-abe1cd5e17d8,Extremely important,Very worried,A great deal,A great deal,Alarmed
68936deb-f61a-b884-66e3-2166d70e5631,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
68936e24-c25e-92ac-ef42-8f2c2ae54d0a,Not too important,Somewhat worried,Only a little,Only a little,Cautious
68936eae-2632-1f25-6c38-d4d3b8e991e5,Extremely important,Somewhat worried,A great deal,A moderate amount,Alarmed
68937e63-30ff-42eb-441a-c53ea9554a80,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
68937ed4-b58a-e821-61cc-9872c1ef254b,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
68937f29-12ca-2ca4-ea02-e59d01896f0d,Somewhat important,Not very worried,A great deal,A great deal,Cautious
689382dd-5dd6-6408-3efb-4444789289c4,Not too important,Not at all worried,Don't know,Don't know,Doubtful
689383d0-d8ff-4571-1f2a-821b2dcfde6f,Somewhat important,Somewhat worried,Only a little,A moderate amount,Cautious
68938527-44bd-3458-653a-34900b542e51,Not at all important,Not at all worried,Don't know,Don't know,Doubtful
689385ed-e543-2502-dbf5-13e28a4825b3,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Cautious
